survived,pclass,age,sibsp,parch,fare,adult_male,alive,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Queenstown,embark_town_Southampton
0,0.8012547093850625,-0.5583582139213007,0.43365959819260635,-0.463166485297546,-0.6547810444106967,True,no,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True
1,-1.6406644049313184,0.7217688824617624,0.43365959819260635,-0.463166485297546,1.5232081068984547,False,yes,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
1,0.8012547093850625,-0.2383264398255349,-0.4713691284702244,-0.463166485297546,-0.6318220109525792,False,yes,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,-1.6406644049313184,0.4817450518899381,0.43365959819260635,-0.463166485297546,0.9047325615962496,False,yes,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0,0.8012547093850625,0.4817450518899381,-0.4713691284702244,-0.463166485297546,-0.6275703380899649,True,no,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True
0,0.8012547093850625,-0.07831055277765202,-0.4713691284702244,-0.463166485297546,-0.6136826738515213,True,no,True,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False
0,-1.6406644049313184,2.0018959788448254,-0.4713691284702244,-0.463166485297546,0.8626410002563673,True,no,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,0.8012547093850625,-2.1585170844001293,2.2437170515182676,0.7952481162655978,-0.18454602580554888,False,no,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True
1,0.8012547093850625,-0.15831849630159345,-0.4713691284702244,2.053662717828742,-0.5226968745915741,False,yes,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,-0.419704847773128,-1.1984217621128321,0.43365959819260635,-0.463166485297546,0.12143156409450098,False,yes,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1,0.8012547093850625,-1.9985011973522466,0.43365959819260635,0.7952481162655978,-0.33335457599705137,False,yes,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True
1,-1.6406644049313184,2.3219277529405913,-0.4713691284702244,-0.463166485297546,0.0016772455769600218,False,yes,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0,0.8012547093850625,-0.7183741009691835,-0.4713691284702244,-0.463166485297546,-0.6275703380899649,True,no,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True
0,0.8012547093850625,0.8017768259857039,0.43365959819260635,5.8289065225181735,0.16239047978378265,True,no,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True
0,0.8012547093850625,-1.1984217621128321,-0.4713691284702244,-0.463166485297546,-0.6342301584619641,False,no,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
1,-0.419704847773128,2.0819039223687668,-0.4713691284702244,-0.463166485297546,-0.35716394402769175,False,yes,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True
0,0.8012547093850625,-2.1585170844001293,3.1487457781810986,0.7952481162655978,0.08926170654681576,False,no,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False
1,-0.419704847773128,-0.07831055277765202,-0.4713691284702244,-0.463166485297546,-0.45920409273043633,True,yes,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True
0,0.8012547093850625,0.16171327779417233,0.43365959819260635,-0.463166485297546,-0.28913717822586205,False,no,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0.8012547093850625,-0.07831055277765202,-0.4713691284702244,-0.463166485297546,-0.6556313789832195,False,yes,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
0,-0.419704847773128,0.4817450518899381,-0.4713691284702244,-0.463166485297546,-0.017030115018543176,True,no,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True
1,-0.419704847773128,0.40173710836599663,-0.4713691284702244,-0.463166485297546,-0.45920409273043633,True,yes,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True
1,0.8012547093850625,-1.1184138185888908,-0.4713691284702244,-0.463166485297546,-0.6282778164543039,False,yes,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
1,-1.6406644049313184,-0.07831055277765202,-0.4713691284702244,-0.463166485297546,0.306097022540148,True,yes,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,0.8012547093850625,-1.6784694232564807,2.2437170515182676,0.7952481162655978,-0.18454602580554888,False,no,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
1,0.8012547093850625,0.7217688824617624,0.43365959819260635,5.8289065225181735,0.1662169853601356,False,yes,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0.8012547093850625,-0.07831055277765202,-0.4713691284702244,-0.463166485297546,-0.6556313789832195,True,no,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False
